sep=;
Release Tag;API Item
beta;AccuDrawCommandItems
beta;AccuDrawDialog(props: AccuDrawDialogProps): JSX.Element
beta;AccuDrawDialogProps 
beta;AccuDrawGrabInputFocusEvent 
beta;AccuDrawKeyboardShortcuts
alpha;AccuDrawPopupManager
beta;AccuDrawSetCompassModeEvent 
beta;AccuDrawSetCompassModeEventArgs
beta;AccuDrawSetFieldFocusEvent 
beta;AccuDrawSetFieldFocusEventArgs
beta;AccuDrawSetFieldLockEvent 
beta;AccuDrawSetFieldLockEventArgs
beta;AccuDrawSetFieldValueFromUiEvent 
beta;AccuDrawSetFieldValueFromUiEventArgs
beta;AccuDrawSetFieldValueToUiEvent 
beta;AccuDrawSetFieldValueToUiEventArgs
beta;AccuDrawUiSettings
beta;AccuDrawUiSettingsChangedEvent 
beta;AccuDrawWidget(): JSX.Element
beta;AccuDrawWidgetControl 
public;Action
internal;ActionButtonItem(props: ActionButtonProps): JSX.Element
public;class ActionButtonItemDef 
public;ActionCreatorsObject =
public;ActionItemButton 
public;ActionItemButtonProps 
public;ActionsUnion
public;ActionTypes
public;ActionWithPayload
public;ActiveContentChangedEvent 
public;ActiveContentChangedEventArgs
internal;ActiveFrontstageDefProvider({ frontstageDef }:
public;ActivityCenterField 
public;ActivityMessage(props: ActivityMessageProps): JSX.Element
public;ActivityMessageCancelledEvent 
public;ActivityMessageEventArgs
public;ActivityMessagePopup(props: ActivityMessagePopupProps): JSX.Element | null
public;ActivityMessagePopupProps 
public;ActivityMessageProps
public;ActivityMessageUpdatedEvent 
internal;addMissingWidgets(frontstageDef: FrontstageDef, initialState: NineZoneState): NineZoneState
internal;addPanelWidgets(state: NineZoneState, frontstageDef: FrontstageDef, side: PanelSide): NineZoneState
internal;addWidgets(state: NineZoneState, widgets: ReadonlyArray
public;AnalysisAnimationTimelineDataProvider 
public;AnyItemDef = GroupItemDef | CommandItemDef | ToolItemDef | ActionButtonItemDef
public;AnyToolbarItemDef = AnyItemDef | CustomItemDef
public;AnyWidgetProps = WidgetProps | ToolWidgetProps | NavigationWidgetProps
internal;appendWidgets(state: NineZoneState, widgetDefs: ReadonlyArray
public;AppNotificationManager 
public;AppUiSettings 
beta;areNoFeatureOverridesActive(): boolean
public;Backstage 
deprecated;Backstage 
beta;BackstageActionItem 
deprecated;BackstageActionItem 
public;BackstageAppButton(props: BackstageAppButtonProps): JSX.Element
public;BackstageAppButtonProps
public;BackstageComposer(props: BackstageComposerProps): JSX.Element
internal;BackstageComposerActionItem({ item }: BackstageComposerActionItemProps): JSX.Element
internal;BackstageComposerActionItemProps
internal;BackstageComposerItem({ item }: BackstageComposerItemProps): JSX.Element
internal;BackstageComposerItemProps
public;BackstageComposerProps 
internal;BackstageComposerStageLauncher({ item }: BackstageComposerStageLauncherProps): JSX.Element
internal;BackstageComposerStageLauncherProps
public;BackstageEvent 
public;BackstageEventArgs
deprecated;BackstageEventArgs
public;BackstageItemProps 
deprecated;BackstageItemProps 
public;BackstageItemState
deprecated;BackstageItemState
beta;BackstageItemType
deprecated;BackstageItemType
beta;BackstageItemUtilities
deprecated;BackstageItemUtilities
public;BackstageManager
public;BackstageProps 
deprecated;BackstageProps 
beta;BackstageStageLauncher 
deprecated;BackstageStageLauncher 
public;BackstageToggledArgs
public;BaseItemState
public;BasicNavigationWidget(props: BasicNavigationWidgetProps): JSX.Element
public;BasicNavigationWidgetProps
public;BasicToolWidget(props: BasicToolWidgetProps): JSX.Element
public;BasicToolWidgetProps
public;BooleanListenerProps
public;BooleanSyncUiListener 
alpha;BumpToolSetting 
alpha;Calculator 
internal;CalculatorEngine
internal;CalculatorKeyType
internal;CalculatorOperator
alpha;CalculatorPopup 
alpha;CalculatorPopupProps 
alpha;CalculatorProps 
internal;CalculatorPropsProps = Pick
alpha;CardContainer 
alpha;CardContainerProps 
alpha;CardInfo
alpha;CardSelectedEvent 
alpha;CardSelectedEventArgs
alpha;Category
public;CategoryTree(props: CategoryTreeProps): JSX.Element
public;CategoryTreeProps
alpha;CategoryVisibilityHandler 
alpha;CategoryVisibilityHandlerParams
public;ChildWindowLocationProps
public;ChildWindowManager
beta;ClassGroupingOption
beta;ClearEmphasisStatusField(props: ClearEmphasisStatusFieldProps): JSX.Element
deprecated;ClearEmphasisStatusField(props: ClearEmphasisStatusFieldProps): JSX.Element
internal;clearKeyinPaletteHistory(): void
public;ColorTheme
public;CombinedReducerState
public;combineReducers: CombineReducersFunction
public;CombineReducersFunction = 
public;CommandItemDef 
public;CommandItemProps 
public;CommandLaunchBackstageItem 
deprecated;CommandLaunchBackstageItem 
public;CommandLaunchBackstageItemProps 
deprecated;CommandLaunchBackstageItemProps 
public;ConditionalField 
public;ConditionalFieldProps 
public;ConfigurableBase 
public;ConfigurableCreateInfo
public;ConfigurableUiActionId
public;ConfigurableUiActions:
public;ConfigurableUiActionsUnion = ActionsUnion
public;ConfigurableUiContent(props: ConfigurableUiContentProps): JSX.Element
public;ConfigurableUiContentProps 
public;class ConfigurableUiControl 
