sep=;
Release Tag;API Item
beta;AccessToken = string
beta;AuthorizationClient
public;AuthorizedClientRequestContext
beta;AuthorizedClientRequestContextProps
beta;AuthorizedSession
beta;AuthorizedSessionProps
beta;CancelRequest
beta;class Client
internal;DefaultRequestOptionsProvider
internal;DownloadFailed
beta;FileHandler
internal;getArrayBuffer(requestContext: ClientRequestContext, url: string): Promise
internal;getJson(requestContext: ClientRequestContext, url: string): Promise
beta;ImsAuthorizationClient
beta;isAuthorizedClientRequestContext: (requestContext: ClientRequestContext) => requestContext is AuthorizedClientRequestContext
beta;ITwinClientLoggerCategory
beta;ProgressCallback = (progress: ProgressInfo) => void
beta;ProgressInfo
internal;removeAccessTokenPrefix(accessToken: AccessToken | undefined): AccessToken | undefined
internal;request(requestContext: ClientRequestContext, url: string, options: RequestOptions): Promise
beta;RequestBasicCredentials
beta;RequestGlobalOptions
beta;requestIdHeaderName = "X-Correlation-Id"
beta;RequestOptions
beta;RequestQueryOptions
beta;RequestQueryStringifyOptions
beta;RequestTimeoutOptions
beta;Response
beta;ResponseError
beta;SasUrlExpired
internal;UserCancelledError
