sep=;
Release Tag;API Item
alpha;BasicManipulationCommandIpc 
alpha;EditCommandIpc
alpha;editorBuiltInCmdIds:
internal;editorChannel = "editor"
alpha;EditorIpc
alpha;ElementGeometryCacheFilter
alpha;ElementGeometryResultOptions
alpha;ElementGeometryResultProps
alpha;FlatBufferGeometricElementData
alpha;FlatBufferGeometryFilter
alpha;FlatBufferGeometryPartData
alpha;OffsetFacesProps
alpha;SolidModelingCommandIpc 
alpha;SubEntityAppearanceProps
alpha;SubEntityGeometryProps
alpha;SubEntityLocationProps
alpha;SubEntityProps
alpha;SubEntityType
