sep=;
Release Tag;API Item
alpha;BadUnit 
alpha;BasicUnit 
alpha;DecimalPrecision
alpha;Format
alpha;FormatProps
alpha;Formatter
alpha;FormatterSpec
alpha;FormatTraits
alpha;FormatType
alpha;FractionalPrecision
alpha;ParsedQuantity
alpha;ParseError
alpha;ParseQuantityError
alpha;Parser
alpha;ParserSpec
alpha;PotentialParseUnit
alpha;Quantity 
internal;QuantityConstants
alpha;QuantityError 
alpha;QuantityParseResult = ParsedQuantity | ParseQuantityError
alpha;QuantityProps
alpha;QuantityStatus
alpha;ScientificType
alpha;ShowSignOption
alpha;UnitConversion
alpha;UnitConversionSpec
alpha;UnitProps
alpha;UnitsProvider
