sep=;
Release Tag;API Item
alpha;computeChordToleranceFromPoint(vp: Viewport, pt: Point3d, radius?: number): number
alpha;computeChordToleranceFromRange(vp: Viewport, range: Range3d): number
alpha;class CreateElementTool 
alpha;CreateLineStringTool 
alpha;class CreateOrContinuePathTool 
alpha;DeleteElementsTool 
alpha;DynamicGraphicsProvider
alpha;EditorOptions
alpha;EditTools
alpha;MoveElementsTool 
alpha;RedoTool 
alpha;RotateAbout
alpha;RotateElementsTool 
alpha;RotateMethod
alpha;class TransformElementsTool 
alpha;TransformGraphicsData
alpha;TransformGraphicsProvider
alpha;UndoAllTool 
alpha;UndoTool 
