sep=;
Release Tag;API Item
beta;ActivateSettingsTabEvent 
beta;ActivateSettingsTabEventArgs
internal;AnnularSector
internal;Annulus
beta;AsyncGetAutoSuggestDataFunc = (value: string) => Promise
beta;AutoSuggest 
beta;AutoSuggestData
beta;AutoSuggestProps 
internal;Badge 
internal;BadgeProps 
internal;BadgeUtilities
internal;BetaBadge(props: CommonProps): JSX.Element
public;BlockText(props: TextProps): JSX.Element
public;BodyText(props: TextProps): JSX.Element
public;Button 
deprecated;Button 
public;ButtonProps 
deprecated;ButtonProps 
public;ButtonSize
deprecated;ButtonSize
public;ButtonType
deprecated;ButtonType
internal;calculateBackdropFilterBlur: (proximityScale: number) => number
internal;calculateBoxShadowOpacity: (proximityScale: number) => number
internal;calculateProximityScale: (proximity: number, snap?: boolean, threshold?: number) => number
internal;calculateToolbarOpacity: (proximityScale: number) => number
public;Centered(props: CommonDivProps): JSX.Element
public;Checkbox 
deprecated;Checkbox 
public;CheckBoxInfo
public;CheckboxProps 
deprecated;CheckboxProps 
public;CheckBoxState
public;CheckListBox 
public;CheckListBoxItem 
public;CheckListBoxItemProps 
public;CheckListBoxSeparator(): JSX.Element
internal;Circle
public;ClassNameProps
internal;CloseSettingsContainerEvent 
public;CommonDivProps 
public;CommonProps 
public;ContextMenu 
public;ContextMenuDirection
public;ContextMenuDivider 
public;ContextMenuItem 
public;ContextMenuItemProps 
public;ContextMenuProps 
public;ContextSubMenu 
public;ContextSubMenuProps 
internal;Corner
internal;CrossAxisArrowKeyFunc = (forward: boolean) => void
public;Cube 
internal;CubeFace 
internal;CubeFaceProps 
public;CubeProps 
public;Dialog 
public;DialogAlignment
public;DialogButtonDef
deprecated;DialogButtonDef
public;DialogButtonStyle
deprecated;DialogButtonStyle
public;DialogButtonType
deprecated;DialogButtonType
public;DialogProps 
public;DisabledText(props: TextProps): JSX.Element
public;Div(props: DivProps): JSX.Element
public;DivProps 
public;DivWithOutsideClick:
public;ElementResizeObserver({ watchedElement, render }:
public;ElementSeparator: (props: ElementSeparatorProps) => JSX.Element
public;ElementSeparatorProps 
public;ExecuteHandler = (this: void) => void
public;ExpandableBlock 
deprecated;ExpandableBlock 
public;ExpandableBlockProps 
deprecated;ExpandableBlockProps 
public;ExpandableList 
public;ExpandableListProps 
public;ExpansionToggle 
public;ExpansionToggleProps 
public;Face
beta;FeaturedTile(props: TileProps): JSX.Element
deprecated;FeaturedTile(props: TileProps): JSX.Element
beta;Field 
beta;FieldDef
beta;FieldDefinitions
beta;FieldEditor = "textbox" | "multilinetextbox" | "dropdown" | "checkbox"
beta;FieldProps 
beta;FieldValues
public;FillCentered(props: CommonDivProps): JSX.Element
alpha;FilteredText(props: FilteredTextProps): JSX.Element
alpha;FilteredTextProps 
internal;flattenChildren: (children: React.ReactNode) => React.ReactNode
public;FlexWrapContainer(props: CommonDivProps): JSX.Element
internal;focusIntoContainer(focusContainer: HTMLDivElement, initialFocusElement?: React.RefObject
internal;FocusTrap(props: FocusTrapProps): JSX.Element | null
internal;FocusTrapProps 
beta;Form 
beta;FormContext: React.Context
beta;FormContextState 
beta;FormProps
public;Gap(props: GapProps): JSX.Element
public;GapProps 
beta;GetAutoSuggestDataFunc = (value: string) => AutoSuggestData[]
internal;getBestBWContrastColor(hexColor: string): "black" | "white"
internal;getButtonTypeClassName(buttonType?: ButtonType): string
public;getCssVariable(variableName: string, htmlElement?: HTMLElement): string
public;getCssVariableAsNumber(variableName: string, htmlElement?: HTMLElement): number
internal;getDisplayName: (component: React.ComponentType
internal;getToolbarBackdropFilter: (filterBlur: number) => string
internal;getToolbarBackgroundColor: (opacity: number) => string
internal;getToolbarBoxShadow: (opacity: number) => string
internal;getUserColor(email: string): string
public;GlobalContextMenu 
public;GlobalContextMenuProps 
public;GlobalDialog 
public;GlobalDialogProps 
public;GlobalDialogState
internal;hasPointerEventsSupport(): boolean
